NOME,DATETIME,TEMPERATURA_MEDIA,LATITUDE,LONGITUDE,ALTITUDE
CWB,2020-08-05,15.8,-25.4486111,-49.23055554,922.91
CWB,2020-08-06,16.1,-25.4486111,-49.23055554,922.91
CWB,2020-08-07,16.5,-25.4486111,-49.23055554,922.91
CWB,2020-08-08,16.0,-25.4486111,-49.23055554,922.91
CWB,2020-08-09,17.6,-25.4486111,-49.23055554,922.91
CWB,2020-08-10,18.2,-25.4486111,-49.23055554,922.91
CWB,2020-08-11,18.2,-25.4486111,-49.23055554,922.91
CWB,2020-08-12,15.3,-25.4486111,-49.23055554,922.91
CWB,2020-08-13,15.9,-25.4486111,-49.23055554,922.91
CWB,2020-08-14,19.2,-25.4486111,-49.23055554,922.91
CWB,2020-08-15,15.4,-25.4486111,-49.23055554,922.91
CWB,2020-08-16,14.2,-25.4486111,-49.23055554,922.91
CWB,2020-08-17,16.5,-25.4486111,-49.23055554,922.91
CWB,2020-08-18,15.2,-25.4486111,-49.23055554,922.91
CWB,2020-08-19,13.9,-25.4486111,-49.23055554,922.91
CWB,2020-08-20,,-25.4486111,-49.23055554,922.91
CWB,2020-08-21,,-25.4486111,-49.23055554,922.91
CWB,2020-08-22,,-25.4486111,-49.23055554,922.91
CWB,2020-08-23,,-25.4486111,-49.23055554,922.91
CWB,2020-08-24,12.5,-25.4486111,-49.23055554,922.91
CWB,2020-08-25,,-25.4486111,-49.23055554,922.91
CWB,2020-08-26,,-25.4486111,-49.23055554,922.91
CWB,2020-08-27,16.1,-25.4486111,-49.23055554,922.91
CWB,2020-08-28,17.6,-25.4486111,-49.23055554,922.91
CWB,2020-08-29,20.1,-25.4486111,-49.23055554,922.91
CWB,2020-08-30,20.9,-25.4486111,-49.23055554,922.91
CWB,2020-08-31,15.5,-25.4486111,-49.23055554,922.91
CWB,2020-09-01,14.8,-25.4486111,-49.23055554,922.91
CWB,2020-09-02,15.8,-25.4486111,-49.23055554,922.91
CWB,2020-09-03,20.2,-25.4486111,-49.23055554,922.91
CWB,2020-09-04,21.0,-25.4486111,-49.23055554,922.91
CWB,2020-09-05,19.0,-25.4486111,-49.23055554,922.91
CWB,2020-09-06,19.9,-25.4486111,-49.23055554,922.91
CWB,2020-09-07,18.1,-25.4486111,-49.23055554,922.91
CWB,2020-09-08,17.4,-25.4486111,-49.23055554,922.91
CWB,2020-09-09,18.5,-25.4486111,-49.23055554,922.91
CWB,2020-09-10,21.2,-25.4486111,-49.23055554,922.91
CWB,2020-09-11,21.9,-25.4486111,-49.23055554,922.91
CWB,2020-09-12,23.6,-25.4486111,-49.23055554,922.91
CWB,2020-09-13,22.4,-25.4486111,-49.23055554,922.91
CWB,2020-09-14,22.2,-25.4486111,-49.23055554,922.91
CWB,2020-09-15,12.6,-25.4486111,-49.23055554,922.91
CWB,2020-09-16,18.0,-25.4486111,-49.23055554,922.91
CWB,2020-09-17,18.8,-25.4486111,-49.23055554,922.91
CWB,2020-09-18,20.8,-25.4486111,-49.23055554,922.91
CWB,2020-09-19,21.1,-25.4486111,-49.23055554,922.91
CWB,2020-09-20,13.1,-25.4486111,-49.23055554,922.91
CWB,2020-09-21,11.5,-25.4486111,-49.23055554,922.91
CWB,2020-09-22,11.0,-25.4486111,-49.23055554,922.91
CWB,2020-09-23,14.4,-25.4486111,-49.23055554,922.91
CWB,2020-09-24,17.7,-25.4486111,-49.23055554,922.91
CWB,2020-09-25,19.0,-25.4486111,-49.23055554,922.91
CWB,2020-09-26,22.2,-25.4486111,-49.23055554,922.91
CWB,2020-09-27,24.4,-25.4486111,-49.23055554,922.91
CWB,2020-09-28,18.3,-25.4486111,-49.23055554,922.91
CWB,2020-09-29,16.7,-25.4486111,-49.23055554,922.91
CWB,2020-09-30,21.7,-25.4486111,-49.23055554,922.91
CWB,2020-10-01,25.1,-25.4486111,-49.23055554,922.91
CWB,2020-10-02,27.8,-25.4486111,-49.23055554,922.91
CWB,2020-10-03,18.2,-25.4486111,-49.23055554,922.91
CWB,2020-10-04,15.6,-25.4486111,-49.23055554,922.91
CWB,2020-10-05,21.6,-25.4486111,-49.23055554,922.91
CWB,2020-10-06,24.5,-25.4486111,-49.23055554,922.91
CWB,2020-10-07,22.6,-25.4486111,-49.23055554,922.91
CWB,2020-10-08,18.6,-25.4486111,-49.23055554,922.91
CWB,2020-10-09,15.8,-25.4486111,-49.23055554,922.91
CWB,2020-10-10,16.5,-25.4486111,-49.23055554,922.91
CWB,2020-10-11,15.5,-25.4486111,-49.23055554,922.91
CWB,2020-10-12,18.2,-25.4486111,-49.23055554,922.91
CWB,2020-10-13,21.5,-25.4486111,-49.23055554,922.91
CWB,2020-10-14,20.5,-25.4486111,-49.23055554,922.91
CWB,2020-10-15,16.8,-25.4486111,-49.23055554,922.91
CWB,2020-10-16,15.0,-25.4486111,-49.23055554,922.91
CWB,2020-10-17,14.5,-25.4486111,-49.23055554,922.91
CWB,2020-10-18,15.8,-25.4486111,-49.23055554,922.91
CWB,2020-10-19,18.3,-25.4486111,-49.23055554,922.91
CWB,2020-10-20,21.3,-25.4486111,-49.23055554,922.91
CWB,2020-10-21,19.3,-25.4486111,-49.23055554,922.91
CWB,2020-10-22,17.9,-25.4486111,-49.23055554,922.91
CWB,2020-10-23,17.7,-25.4486111,-49.23055554,922.91
CWB,2020-10-24,18.3,-25.4486111,-49.23055554,922.91
CWB,2020-10-25,19.0,-25.4486111,-49.23055554,922.91
CWB,2020-10-26,20.1,-25.4486111,-49.23055554,922.91
CWB,2020-10-27,21.3,-25.4486111,-49.23055554,922.91
CWB,2020-10-28,22.2,-25.4486111,-49.23055554,922.91
CWB,2020-10-29,20.0,-25.4486111,-49.23055554,922.91
CWB,2020-10-30,13.0,-25.4486111,-49.23055554,922.91
CWB,2020-10-31,13.1,-25.4486111,-49.23055554,922.91
CWB,2020-11-01,13.2,-25.4486111,-49.23055554,922.91
CWB,2020-11-02,,-25.4486111,-49.23055554,922.91
CWB,2020-11-03,14.7,-25.4486111,-49.23055554,922.91
CWB,2020-11-04,13.7,-25.4486111,-49.23055554,922.91
CWB,2020-11-05,15.6,-25.4486111,-49.23055554,922.91
CWB,2020-11-06,15.6,-25.4486111,-49.23055554,922.91
CWB,2020-11-07,18.4,-25.4486111,-49.23055554,922.91
CWB,2020-11-08,20.1,-25.4486111,-49.23055554,922.91
CWB,2020-11-09,18.1,-25.4486111,-49.23055554,922.91
CWB,2020-11-10,20.0,-25.4486111,-49.23055554,922.91
CWB,2020-11-11,18.2,-25.4486111,-49.23055554,922.91
CWB,2020-11-12,19.8,-25.4486111,-49.23055554,922.91
CWB,2020-11-13,20.5,-25.4486111,-49.23055554,922.91
CWB,2020-11-14,21.6,-25.4486111,-49.23055554,922.91
CWB,2020-11-15,23.2,-25.4486111,-49.23055554,922.91
CWB,2020-11-16,23.0,-25.4486111,-49.23055554,922.91
CWB,2020-11-17,19.0,-25.4486111,-49.23055554,922.91
CWB,2020-11-18,14.5,-25.4486111,-49.23055554,922.91
CWB,2020-11-19,14.7,-25.4486111,-49.23055554,922.91
CWB,2020-11-20,15.9,-25.4486111,-49.23055554,922.91
CWB,2020-11-21,16.5,-25.4486111,-49.23055554,922.91
CWB,2020-11-22,17.7,-25.4486111,-49.23055554,922.91
CWB,2020-11-23,18.6,-25.4486111,-49.23055554,922.91
CWB,2020-11-24,19.1,-25.4486111,-49.23055554,922.91
CWB,2020-11-25,23.0,-25.4486111,-49.23055554,922.91
CWB,2020-11-26,24.6,-25.4486111,-49.23055554,922.91
CWB,2020-11-27,19.9,-25.4486111,-49.23055554,922.91
CWB,2020-11-28,21.9,-25.4486111,-49.23055554,922.91
